issu
14
17
3
9
5
1
1
3
18
1
1
1
4
2
28
25
11
13
1
1
2
4
1
15
17
1
34
8
1
20
1
7
3
6
1
1
1
1
1
1
1
4
11
1
1
5
4
10
2
1
5
6
3
1
20
1
1
2
6
1
7
1
3
1
5
1
7
1
1
2
1
1
1
1
7
3
1
1
4
37
1
6
2
3
1
12
1
3
22
2
4
1
4
33
2
2
3
4
5
1
7
21
7
22
11
1
2
26
3
12
3
37
47
4
1
5
1
6
7
6
2
1
1
8
1
3
1
10
26
13
5
194
1
2
5
1
1
8
3
2
5
3
1
1
6
9
1
2
5
4
26
1
1
2
8
14
3
8
6
1
6
4
23
15
6
3
12
1
23
9
32
5
8
11
1
23
2
23
32
1
1
2
23
2
17
2
4
27
11
4
3
25
51
1
2
21
1
1
1
16
1
2
17
24
1
2
1
1
1
39
27
23
26
1
19
1
24
10
1
17
1
1
1
35
1
1
1
2
25
1
1
3
1
1
15
6
26
23
18
1
2
2
1
1
5
2
1
1
1
27
1
1
25
17
1
28
4
3
1
1
1
1
1
21
25
5
19
1
1
5
2
1
4
28
1
21
25
1
1
19
124
1
1
23
2
1
23
1
27
20
17
4
2
1
3
10
8
6
29
5
3
8
1
1
8
2
1
2
1
5
7
21
1
1
1
1
20
2
4
2
14
1
2
1
39
25
1
3
29
1
3
27
2
3
1
3
10
8
4
5
6
10
1
4
6
2
18
1
1
1
2
1
2
1
1
1
1
1
3
1
1
1
18
23
1
2
12
10
39
1
364
20
15
3
1
3
1
1
13
1
26
3
6
11
11
1
3
3
21
3
2
1
28
2
7
19
1
2
22
1
2
15
1
3
3
9
1
1
1
1
2
1
1
2
2
16
2
1
3
1
2
23
3
1
1
1
1
5
2
3
39
23
4
3
4
1
1
2
1
5
2
3
4
2
6
2
1
2
1
4
1
1
1
1
1
1
1
2
9
1
1
3
3
1
4
3
1
2
2
2
5
1
2
30
1
4
1
1
1
1
5
6
20
3
3
3
7
1
2
5
3
1
1
3
1
2
1
18
2
2
2
1
7
1
3
6
1
2
2
2
3
1
15
6
20
22
29
15
5
8
1
5
1
3
1
1
105
2
13
2
1
2
1
3
2
20
2
3
1
1
3
1
3
3
36
2
4
1
1
1
1
11
9
2
3
2
2
17
1
15
51
5
33
21
1
4
6
3
30
1
22
11
11
5
6
18
4
2
8
4
1
1
1
16
1
4
4
15
1
17
1
1
1
3
22
1
1
1
3
5
1
1
1
1
1
1
1
3
2
26
2
1
1
5
1
1
2
3
17
1
18
4
1
22
1
1
18
17
1
2
18
4
7
1
1
1
1
4
11
2
1
1
1
1
1
6
2
1
8
1
1
1
4
9
26
1
2
1
2
2
3
1
1
1
8
1
2
5
1
3
4
1
1
1
3
1
16
1
1
3
1
5
1
8
1
1
1
1
1
3
5
16
1
8
1
1
1
1
2
2
1
1
6
1
6
2
10
40
6
1
7
2
140
2
1
2
1
3
7
8
8
1
2
1
4
15
5
7
1
14
22
3
20
7
1
7
1
6
5
1
1
1
2
1
8
10
13
17
1
10
16
1
1
4
17
1
3
1
1
4
11
26
3
2
3
2
2
1
16
3
1
3
3
2
12
2
1
1
1
1
1
5
1
